id,title,description,municipality_type,is_divided_by_gender,publ_period,publication_date
N00064,"Månadsavlönad personal, kommunalt anställda tekniker, antal","Månadsavlönad personal, antal kommunalt anställda tekniker. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00065,"Månadsavlönad personal, kommunalt anställda i vaktmästeri, trädgård, anläggning m.m., antal","Månadsavlönad personal, antal kommunalt anställda i vaktmästeri, trädgård, anläggning m.m. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00066,"Månadsavlönad personal, kommunalt anställda i köks- och måltidsarbete, antal","Månadsavlönad personal, antal kommunalt anställda i köks- och måltidsarbete. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00067,"Månadsavlönad personal, kommunalt anställda i städ, tvätt och renhållning, antal","Månadsavlönad personal, antal kommunalt anställda i städ, tvätt och renhållning. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00068,"Månadsavlönade inom övrig verksamhet, kommun, antal","Antal anställda månadsavlönade inom övrig verksamhet (infrastruktur, skydd mm, övrig vård och omsorg, särskilt riktade insatser, affärsverksamhet, politisk verksamhet och gemensam verksamhet) oavsett yrke. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n",K,0,2023,2024-04-03
N00073,"Årsarbetare, kommunalt anställda i ledningsarbete, antal","Årsarbetare, antal kommunalt anställda i ledningsarbete. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00074,"Årsarbetare, kommunalt anställda handläggare, antal","Årsarbetare, antal kommunalt anställda handläggare. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00075,"Årsarbetare, kommunalt anställda administratörer, antal","Årsarbetare, antal kommunalt anställda administratörer. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00077,"Årsarbetare, kommunalt anställda tekniker, antal","Årsarbetare, antal kommunalt anställda tekniker. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00078,"Årsarbetare, kommunalt anställda i vaktmästeri, trädgård, anläggning m.m., antal","Årsarbetare, antal kommunalt anställda i vaktmästeri, trädgård, anläggning m.m.. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00079,"Årsarbetare, kommunalt anställda i köks- och måltidsarbete, antal","Årsarbetare, antal kommunalt anställda i köks- och måltidsarbete. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00080,"Årsarbetare, kommunalt anställda i städ, tvätt och renhållning, antal","Årsarbetare, antal kommunalt anställda i städ, tvätt och renhållning. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00081,"Årsarbetare inom övrig verksamhet, kommun, antal","Antal årsarbetare inom övrig verksamhet (infrastruktur, skydd mm, övrig vård och omsorg, särskilt riktade insatser, affärsverksamhet, politisk verksamhet o gemensam verksamhet). Både månadsavlönade och timavlönade ingår. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n",K,0,2023,2024-04-03
N00082,"Gemensamma kostnader fördelade till egentlig verksamhet totalt, andel (%)","Kostnad för kommungemensam verksamhet (Kommunnyckel+SCB-nyckel) dividerat med bruttokostnaden exklusive köp av verksamhet avseende Egentlig verksamhet. Avser kostnader för samtliga tjänster, funktioner och varor som redovisas centralt i kommunen och fördelats på Egentlig verksamhet i räkenskapssammandraget, t ex ekonomiadministration, HR-funktion och förbrukningsvaror. Gemensamma kostnader fördelas ut för att öka jämförbarheten mellan kommuner som bär sådana kostnader direkt i verksamheten och kommuner som redovisar kostnaderna centralt. Källa: SCB Räkenskapssammandraget",K,0,2023,2024-08-31
N00090,"Sjukfrånvaro totalt bland anställda, kommun, andel (%)","Den totala sjukfrånvarotiden, ackumulerad under året, som andel (%) av den tillgängliga ordinarie arbetstiden. Avser samtlig kommunalt anställd personal. Källa: Egna uppgifter i kommunens årsredovisning (den obligatoriska sjukfrånvaroredovisningen), sammanställt av SKR.",K,1,2023,2024-03-09
N00091,"Sjukfrånvaro mer än 59 dagar som andel av total sjukfrånvaro bland anställda, kommun, andel (%)","Sjukfrånvaro mer än 59 dagar som andel av total sjukfrånvaro, (%), ackumulerad under året. Avser kommunalt anställda. Källa: Egna uppgifter i kommunens årsredovisning (den obligatoriska sjukfrånvaroredovisningen), sammanställt av SKR.",K,0,2023,2024-03-09
N00092,"Sjukfrånvaro bland anställda <30 år, kommun, andel (%)","Sjukfrånvaro för kommunalt anställda <30 år, (%), ackumulerad under året, som andel (%) av den tillgängliga ordinarie arbetstiden. Källa: Egna uppgifter i kommunens årsredovisning (den obligatoriska sjukfrånvaroredovisningen), sammanställt av SKR.",K,0,2023,2024-03-09
N00093,"Sjukfrånvaro bland anställda 30-49 år, kommun, andel (%)","Sjukfrånvaro för kommunalt anställda 30-49 år, (%), ackumulerad under året, som andel (%) av den tillgängliga ordinarie arbetstiden. Källa: Egna uppgifter i kommunens årsredovisning (den obligatoriska sjukfrånvaroredovisningen), sammanställt av SKR.",K,0,2023,2024-03-09
N00094,"Sjukfrånvaro bland anställda >49 år, kommun, andel (%)","Sjukfrånvaro för kommunalt anställda >49 år, (%), ackumulerad under året, som andel (%) av den tillgängliga ordinarie arbetstiden. Källa: Egna uppgifter i kommunens årsredovisning (den obligatoriska sjukfrånvaroredovisningen), sammanställt av SKR.",K,0,2023,2024-03-09
N00095,"Kostnad egentlig verksamhet, kr/inv",Bruttokostnad minus interna intäkter och försäljning till andra kommuner och regioner för kommunens löpande egentliga verksamheter (huvudsakligen skattefinansierad) dividerat med antal invånare i kommunen den 31/12. Källa: SCB.,K,0,2023,2024-08-31
N00096,"Nettokostnad egentlig verksamhet, kr/inv",Bruttokostnad minus interna och externa intäkter för kommunens löpande egentliga verksamheter (huvudsakligen skattefinansierad) dividerat med antal invånare i kommunen den 31/12. Källa: SCB.,K,0,2023,2024-08-31
N00097,"Nettokostnadsavvikelse totalt (exkl. LSS), andel (%)","Avvikelse i procent mellan total nettokostnad och total referenskostnad för förskola, fritidshem, grundskola, gymnasieskola, individ- och familjeomsorg och vård och omsorg om äldre, kr/inv. År 2015 ersattes förskola och skolbarnomsorg med förskola och fritidshem (dvs exkl pedagogisk omsorg). Nettokostnad är bruttokostnad minus bruttointäkt. Referenskostnaden bygger på nettokostnader och strukturvariabler för det aktuella året. Se nettokostnadsavvikelse för respektive verksamhetsområde för information om vilka variabler som ingår i beräkningen. Positiva värden indikerar högre kostnadsläge än statistiskt förväntat och negativa värden ett lägre kostnadsläge än statistiskt förväntat. Från och med 2019 beräknas nettokostnadsavvikelse på ett nytt sätt pga förändringar i kostnadsutjämningen.  Detta påverkar jämförbarheten med tidigare år. Källa: SKR.",K,0,2023,2024-09-30
N00098,"Årsarbetare totalt, kommun, antal",Antal årsarbetare totalt. Både månadsavlönade och timavlönade ingår. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Avser kommunalt anställda (HÖK) i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).,K,1,2023,2024-04-03
N00100,"Strukturkostnad kommunen, kr/inv","Strukturkostnaden är summan av alla standardkostnader (kr/inv) enligt det kommunala kostnadsutjämningssystemet (ej LSS-utjämningssystemet). Standardkostnader beräknas för förskoleverksamhet och barnomsorg, förskoleklass och grundskola, gymnasieskola, kommunal vuxenutbildning, individ- och familjeomsorg, äldreomsorg, verksamhetshetsövergripande kostnader, infrastruktur och skydd, samt kollektivtrafik. Källa: SCB.",K,0,2024,2023-12-21
N00105,"Standardkostnad kollektivtrafik, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för kollektivtrafik enligt det kommunala utjämningssystemet. Standardkostnaden beräknas länsvis med hjälp av variablerna gleshet, arbetspendling och tätortsstruktur. Källa: SCB.",K,0,2024,2023-12-21
N00106,"Månadsavlönade inom administrationsarbete, kommun, antal","Antal anställda månadsavlönade inom kultur-, turism- och fritidsarbete.  Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).SKR.",K,0,2023,2024-04-03
N00107,"Månadsavlönade inom förskola, skola, fritids m.m., kommun, antal","Månadsavlönad personal, antal kommunalt anställda i kultur-, turism- och fritidsarbete. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).SKR.",K,0,2023,2024-04-03
N00108,"Månadsavlönad personal, kommunalt anställda i förskola, skola, fritids m.m., antal",Antal anställda månadsavlönade inom skol- och barnomsorgsarbete.  Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n,K,0,2023,2024-04-03
N00110,"Månadsavlönade inom teknikarbete, kommun, antal",Antal anställda månadsavlönade inom teknikarbete. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).,K,0,2023,2024-04-03
N00112,"Årsarbetare inom administrationsarbete, kommun, antal",Antal årsarbetare inom administrationsarbete. Både månadsavlönade och timavlönade ingår. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar.  Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n,K,0,2023,2024-04-03
N00113,"Årsarbetare inom kultur, turism och friluftsliv, kommun, antal","Antal årsarbetare inom kultur, turism och  friluftsliv. Både månadsavlönade och timavlönade ingår. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n",K,0,2023,2024-04-03
N00114,"Årsarbetare inom förskola, skola, fritids m.m., kommun, antal",Antal årsarbetare inom skol- och barnomsorgsarbete. Både månadsavlönade och timavlönade ingår. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n,K,0,2023,2024-04-03
N00116,"Årsarbetare inom teknikarbete, kommun, antal",Antal årsarbetare inom teknikarbete. Både månadsavlönade och timavlönade ingår. Antalet årsarbetare räknas fram med hjälp av den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade. Årsarbetare anger hur många anställda kommunen skulle ha haft om den faktiska sysselsättningsgraden för månadsavlönade och arbetade timmar för timavlönade summerades till heltidsanställningar. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n,K,0,2023,2024-04-03
N00119,"Köp av egentlig verksamhet från privatägda företag, andel (%)","Kommunens köp av egentlig verksamhet, från privatägda företag, som andel av kostnad för eget åtagande för egentlig verksamhet (%). Köp av verksamhet är betalning för ett offentligt uppdrag (kärnverksamhet) som överlämnats till någon annan att utföra. Kostnad för eget åtagande är bruttokostnad minus interna intäkter och försäljning till andra kommuner och regioner. I begreppet egentlig verksamhet har kommunal affärsverksamhet och gemensam verksamhet (inkl. lokaler) exkluderats. Källa: SCB.",K,0,2023,2024-08-31
N00120,"Köp av egentlig verksamhet från föreningar och stiftelser, andel (%)","Kommunens köp av egentlig verksamhet, från föreningar och stiftelser, som andel av kostnad för eget åtagande för egentlig verksamhet (%). Köp av verksamhet är betalning för ett offentligt uppdrag (kärnverksamhet) som överlämnats till någon annan att utföra. Kostnad för eget åtagande är bruttokostnad minus interna intäkter och försäljning till andra kommuner och regioner. I begreppet egentlig verksamhet har kommunal affärsverksamhet och gemensam verksamhet (inkl. lokaler) exkluderats. Källa: SCB.",K,0,2023,2024-08-31
N00121,"Köp av egentlig verksamhet totalt från kommuner, andel (%)","Kommunens köp av egentlig verksamhet totalt, från andra kommuner inkl. Gotland, som andel av kostnad för eget åtagande för egentlig verksamhet (%). Köp av verksamhet är betalning för ett offentligt uppdrag (kärnverksamhet) som överlämnats till någon annan att utföra. Kostnad för eget åtagande är bruttokostnad minus interna intäkter och försäljning till andra kommuner och regioner. I begreppet egentlig verksamhet har kommunal affärsverksamhet och gemensam verksamhet (inkl. lokaler) exkluderats. Källa: SCB.",K,0,2023,2024-08-31
N00122,"Köp av egentlig verksamhet totalt från bolag inom koncernen, andel (%)","Kommunens köp av egentlig verksamhet totalt, från kommunägda företag, som andel av kostnad för eget åtagande för egentlig verksamhet (%). Köp av verksamhet är betalning för ett offentligt uppdrag (kärnverksamhet) som överlämnats till någon annan att utföra. Kostnad för eget åtagande är bruttokostnad minus interna intäkter och försäljning till andra kommuner och regioner. I begreppet egentlig verksamhet har kommunal affärsverksamhet och gemensam verksamhet (inkl. lokaler) exkluderats. Källa: SCB.",K,0,2023,2024-08-31
N00125,"Lönesumma, dagbefolkning, mkr","Dagbefolkning avser personer som arbetar i kommunen, oavsett var de bor. Totala lönesumman inkluderar individer med okända kontrolluppgifter som inte kan hänföras till personer folkbokförda i Sverige. Det kan till exempel vara felaktigt angivna personnummer eller avse personer som bor i utlandet. Därav summerar inte de könsuppdelade uppgifterna till totalen. Sedan 2019 använder sig SCB av de månatliga arbetsgivardeklarationerna på individ¬nivå (AGI) som datakälla istället för de årliga kontrolluppgifterna (KU), det gör att jämförelser mot tidigare år bör göras med försiktighet. Källa: SCB:s registerbaserade arbetsmarknadsstatistik (RAMS).",A,1,2022,2023-11-24
N00126,"Lönesumma, nattbefolkning, mkr","Nattbefolkning avser personer som bor i kommunen, oavsett var de arbetar. Totala lönesumman inkluderar individer med okända kontrolluppgifter som inte kan hänföras till personer folkbokförda i Sverige. Det kan till exempel vara felaktigt angivna personnummer eller avse personer som bor i utlandet. Därav summerar inte alltid de könsuppdelade uppgifterna till totalen. Sedan 2019 använder sig SCB av de månatliga arbetsgivardeklarationerna på individ¬nivå (AGI) som datakälla istället för de årliga kontrolluppgifterna (KU), det gör att jämförelser mot tidigare år bör göras med försiktighet. Källa: SCB:s registerbaserade arbetsmarknadsstatistik (RAMS).",A,1,2022,2023-11-24
N00150,"Standardkostnad kommunal vuxenutbildning, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för kommunal vuxenutbildning enligt det kommunala utjämningssystemet. Standardkostnaden beräknas utifrån antal 20-56-åringar i kommunen utan grundläggande utbildning, antal 20-56-åringar i kommunen utan gymnasial utbildning, antal 20-64-åringar i kommunen med uppehållstillstånd mellan 2 och 5 år samt andelen 20-64-åringar i kommunen som förvärvsarbetar. Ny kostnadsutjämning från 2020 påverkar standardkostnaderna från 2020. Källa: SCB.",K,0,2024,2023-12-21
N00151,"Kostnadsutjämningsnetto kommunal vuxenutbildning, kr/inv, 1 nov fg år","Kostnadsutjämningsnetto kommunal vuxenutbildning, tkr dividerat med antal invånare totalt 1/11 nov fg år. Kostnadsutjämningsnettot beräknas som kommunens standardkostnad för kommunal vuxenutbildning minus standardkostnaden för kommunal vuxenutbildning för riket.Källa: SCB.",K,0,2024,2023-12-21
N00153,"Referenskostnad kommunal vuxenutbildning, kr/inv","Referenskostnaden för kommunal vuxenutbildning redovisas i kronor per invånare den 31/12, och bygger på nettokostnaden för grundläggande och gymnasial kommunal vuxenutbildning samt utbildning i svenska för invandrare. Beräknas utifrån antal 20-56-åringar i kommunen utan grundläggande utbildning, antal 20-56-åringar i kommunen utan gymnasial utbildning, antal 20-64-åringar i kommunen med uppehållstillstånd mellan 2 och 5 år samt andelen 20-64-åringar i kommunen som förvärvsarbetar. Till detta kommer en del av standardkostnaderna för administration, uppvärmning och befolkningsminskning från utjämningsmodellen för verksamhetsövergripande kostnader. Dataunderlaget avser som regel det aktuella året. Källa: SKR.",K,0,2023,2024-09-30
N00155,"Standardkostnad verksamhetsövergripande kostnader, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för infrastruktur och skydd enligt det kommunala utjämningssystemet. Standardkostnaden beräknas utifrån befolkningsminskning, eftersläpningseffekter, uppvärmning, byggkostnader, samt administration . Ny kostnadsutjämning från 2020 påverkar standardkostnaderna från 2020. Källa: SCB.",K,0,2024,2023-12-21
N00156,"Kostnadsutjämningsnetto verksamhetsövergripande kostnader, kr/inv, 1 nov fg år","Kostnadsutjämningsnetto verksamhetsövergripande kostnader, tkr dividerat med antal invånare totalt 1/11 nov fg år. Kostnadsutjämningsnettot beräknas som kommunens standardkostnad för verksamhetsövergripande kostnader minus standardkostnaden för verksamhetsövergripande kostnader för riket. Källa: SCB.",K,0,2024,2023-12-21
N00157,"Standardkostnad infrastruktur och skydd, kr/inv",Standardkostnaden (kr/inv 1 nov fg år) för infrastruktur och skydd enligt det kommunala utjämningssystemet. Standardkostnaden beräknas utifrån klimattillägg och ortstillägg för gator och vägar samt kostnad för räddningstjänst . Ny kostnadsutjämning från 2020 påverkar standardkostnaderna från 2020. Källa: SCB.,K,0,2024,2023-12-21
N00158,"Kostnadsutjämningsnetto infrastruktur och skydd, kr/inv, 1 nov fg år","Kostnadsutjämningsnetto infrastruktur och skydd, tkr dividerat med antal invånare totalt 1/11 nov fg år. Kostnadsutjämningsnettot beräknas som kommunens standardkostnad för infrastruktur och skydd minus standardkostnaden för infrastruktur och skydd för riket. Källa: SCB.",K,0,2024,2023-12-21
N00200,"Tillsvidareanställda månadsavlönade, kommun, andel (%)","Tillsvidareanställda månadsavlönade totalt dividerat med samtliga anställda, multiplicerat med 100 för redovisning i procent. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n",K,1,2023,2024-04-03
